time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV]
1.417521,1.589999,0,116,0,136,-271,19904,0,108,0,136,0,100,0,112
1.425833,1.599999,0,116,0,136,-301,19912,0,112,0,132,0,100,0,112
1.434011,1.609999,0,120,0,136,-298,19904,0,108,0,132,0,100,0,112
1.442305,1.619999,0,116,0,136,-271,19908,0,112,0,132,0,100,0,112
1.450913,1.629999,0,116,0,136,-294,19908,0,112,0,132,0,104,0,112
1.459123,1.639999,0,116,0,136,-267,19908,0,112,0,136,0,104,0,112
1.467472,1.649999,0,116,0,136,-293,19904,0,112,0,136,0,100,0,112
1.476127,1.659999,0,112,0,136,-291,19904,0,112,0,136,0,100,0,112
1.484585,1.669999,0,112,0,140,-298,19908,0,112,0,132,0,100,0,108
1.493184,1.679999,0,116,0,132,-285,19908,0,112,0,132,0,104,0,112
1.501871,1.689999,0,116,0,136,-320,19908,0,108,0,132,0,104,0,112
1.510271,1.699999,0,116,0,136,-301,19908,0,112,0,136,0,104,0,112
1.519035,1.709999,0,116,0,136,-293,19908,0,112,0,132,0,100,0,112
1.528057,1.719999,0,112,0,136,-304,19908,0,112,0,132,0,104,0,112
1.536635,1.729999,0,116,0,136,-268,19908,0,112,0,132,0,100,0,112
1.545203,1.739999,0,112,0,132,-292,19908,0,108,0,136,0,104,0,112
1.553437,1.749999,0,112,0,136,-286,19908,0,108,0,132,0,104,0,112
1.562909,1.759999,0,116,0,140,-280,19912,0,112,0,132,0,104,0,112
1.571260,1.769999,0,116,0,132,-273,19912,0,108,0,132,0,100,0,112
1.579729,1.779999,0,116,0,136,-298,19908,0,108,0,132,0,104,0,112
1.588850,1.789999,0,116,0,136,-315,19912,0,112,0,132,0,100,0,112
1.598640,1.799999,0,116,0,136,-309,19908,0,112,0,132,0,104,0,112
