time[sec],count,Voltage[V],Ampare[A],Wattage[W]
2.885311,3.639997,0.128,0.0,0.0
2.893155,3.649997,0.128,0.0,0.0
2.900998,3.659997,0.132,0.0,0.0
2.908837,3.669997,0.132,0.0,0.0
2.916697,3.679997,0.132,0.0,0.0
2.924614,3.689997,0.132,0.0,0.0
2.932502,3.699997,0.128,0.0,0.0
2.940381,3.709997,0.128,0.0,0.0
2.9486209999999997,3.719997,0.132,0.0,0.0
2.956497,3.729997,0.132,0.0,0.0
2.964343,3.7399970000000002,0.132,0.0,0.0
2.972228,3.749997,0.132,0.0,0.0
2.980081,3.7599970000000003,0.132,0.0,0.0
2.987956,3.769997,0.132,0.0,0.0
2.995906,3.7799970000000003,0.128,0.0,0.0
3.003776,3.789997,0.128,0.0,0.0
3.011654,3.7999970000000003,0.128,0.0,0.0
3.019607,3.809997,0.128,0.0,0.0
3.027502,3.8199970000000003,0.132,0.0,0.0
3.0354,3.829997,0.132,0.0,0.0
3.043259,3.8399970000000003,0.132,0.0,0.0
3.051413,3.849997,0.132,0.0,0.0
3.059319,3.859997,0.128,0.0,0.0
3.067209,3.869997,0.132,0.0,0.0
3.075143,3.879997,0.128,0.0,0.0
3.083064,3.889997,0.132,0.0,0.0
3.0909720000000003,3.899997,0.132,0.0,0.0
3.098863,3.909997,0.132,0.0,0.0
3.106779,3.919997,0.128,0.0,0.0
3.114805,3.929997,0.132,0.0,0.0
3.12281,3.939997,0.132,0.0,0.0
3.130894,3.949997,0.128,0.0,0.0
3.138919,3.959997,0.132,0.0,0.0
3.1469650000000002,3.969997,0.132,0.0,0.0
3.155008,3.979997,0.132,0.0,0.0
3.163119,3.9899970000000002,0.128,0.0,0.0
3.171136,3.999997,0.132,0.0,0.0
3.179177,4.009997,0.132,0.0,0.0
3.187174,4.019997,0.128,0.0,0.0
3.195176,4.029997,0.132,0.0,0.0
3.203183,4.039998000000001,0.128,0.0,0.0
3.211191,4.049998,0.132,0.0,0.0
3.219195,4.059998,0.128,0.0,0.0
3.22721,4.069998,0.132,0.0,0.0
