time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
1.685623,1.429999,-700,19480,0,128,0,112,829,9080,0,116,0,116,0,112,79.000000
1.696333,1.439999,-651,19484,0,128,0,108,831,9080,0,112,0,116,0,116,76.000000
1.707165,1.449999,-646,19488,0,128,0,112,807,9080,0,112,0,116,0,112,72.000000
1.719111,1.459999,-671,19484,0,128,0,108,809,9080,0,116,0,112,0,112,69.000000
1.730208,1.469999,-679,19484,0,128,0,108,807,9080,0,116,0,116,0,112,65.000000
1.740911,1.479999,-627,19492,0,128,0,108,807,9084,0,116,0,112,0,112,61.000000
1.752532,1.489999,-656,19488,0,128,0,108,808,9084,0,116,0,116,0,112,57.000000
1.763870,1.499999,-692,19484,0,128,0,108,808,9076,0,116,0,116,0,112,53.000000
1.774512,1.509999,-627,19492,0,124,0,108,806,9080,0,116,0,116,0,108,49.000000
1.785836,1.519999,-661,19488,0,128,0,108,807,9084,0,112,0,116,0,108,45.000000
1.797330,1.529999,-666,19484,0,128,0,108,808,9080,0,116,0,116,0,112,40.000000
1.807967,1.539999,-616,19496,0,128,0,108,786,9084,0,116,0,116,0,112,36.000000
1.818809,1.549999,-636,19492,0,128,0,108,786,9084,0,116,0,116,0,116,32.000000
1.830607,1.559999,-666,19484,0,128,0,108,785,9084,0,116,0,116,0,112,30.000000
1.841345,1.569999,-670,19488,0,124,0,108,786,9080,0,116,0,116,0,112,28.000000
1.852104,1.579999,-614,19500,0,128,0,108,787,9080,0,116,0,116,0,108,27.000000
1.864318,1.589999,-662,19488,0,128,0,108,787,9080,0,116,0,116,0,116,25.000000
1.875779,1.599999,-657,19492,0,128,0,112,785,9080,0,116,0,116,0,112,23.000000
1.886951,1.609999,-647,19492,0,128,0,108,786,9084,0,112,0,116,0,116,21.000000
1.899093,1.619999,-645,19492,0,124,0,108,786,9080,0,116,0,116,0,116,19.000000
1.910574,1.629999,-655,19492,0,128,0,112,787,9084,0,116,0,116,0,112,17.000000
1.921811,1.639999,-615,19492,0,124,0,108,788,9080,0,112,0,112,0,112,15.000000
1.934063,1.649999,-657,19492,0,128,0,108,785,9080,0,112,0,116,0,112,13.000000
1.945765,1.659999,-643,19488,0,128,0,112,786,9080,0,112,0,116,0,112,11.000000
1.957128,1.669999,-641,19492,0,128,0,112,785,9080,0,116,0,112,0,108,9.000000
1.969398,1.679999,-644,19496,0,132,0,108,786,9080,0,112,0,116,0,112,6.000000
1.981248,1.689999,-675,19488,0,128,0,108,788,9080,0,116,0,116,0,112,4.000000
1.992543,1.699999,-642,19492,0,124,0,112,787,9084,0,112,0,116,0,112,2.000000
2.004785,1.709999,-640,19492,0,128,0,112,787,9084,0,112,0,116,0,112,0.000000
2.016694,1.719999,-664,19488,0,128,0,108,786,9084,0,116,0,116,0,112,0.000000
2.027780,1.729999,-638,19496,0,128,0,108,786,9080,0,116,0,116,0,116,0.000000
2.039629,1.739999,-640,19492,0,128,0,108,786,9084,0,116,0,116,0,112,0.000000
2.051628,1.749999,-676,19484,0,128,0,108,785,9080,0,112,0,116,0,112,0.000000
2.062742,1.759999,-621,19488,0,128,0,112,787,9080,0,116,0,116,0,116,0.000000
2.073513,1.769999,-670,19488,0,128,0,108,786,9080,0,112,0,116,0,112,0.000000
2.084829,1.779999,-673,19488,0,124,0,108,787,9084,0,116,0,120,0,112,0.000000
2.095095,1.789999,-632,19492,0,128,0,108,785,9080,0,116,0,116,0,112,0.000000
2.105606,1.799999,-632,19492,0,124,0,112,787,9084,0,112,0,116,0,112,0.000000
2.116781,1.809999,-645,19492,0,128,0,108,785,9084,0,116,0,116,0,112,0.000000
2.127426,1.819999,-684,19484,0,124,0,108,788,9080,0,116,0,116,0,112,0.000000
2.137499,1.829999,-647,19488,0,128,0,112,786,9084,0,116,0,116,0,112,0.000000
2.148625,1.839999,-641,19484,0,128,0,108,786,9084,0,116,0,116,0,112,0.000000
2.159286,1.849999,-686,19484,0,128,0,112,788,9080,0,112,0,116,0,112,0.000000
2.169917,1.859999,-645,19488,0,128,0,108,788,9084,0,112,0,116,0,112,0.000000
2.181249,1.869999,-639,19488,0,128,0,108,788,9080,0,116,0,116,0,112,0.000000
2.193325,1.879999,-647,19484,0,128,0,108,789,9080,0,112,0,116,0,112,0.000000
2.203975,1.889999,-616,19492,0,124,0,112,787,9084,0,116,0,116,0,108,0.000000
2.214780,1.899999,-615,19492,0,128,0,108,790,9084,0,116,0,116,0,112,0.000000
2.226404,1.909999,-652,19488,0,128,0,108,786,9080,0,112,0,116,0,116,0.000000
2.237433,1.919999,-670,19488,0,128,0,112,790,9080,0,112,0,116,0,112,0.000000
2.248211,1.929999,-630,19492,0,128,0,108,790,9080,0,112,0,112,0,108,0.000000
2.259493,1.939999,-636,19488,0,124,0,112,790,9080,0,116,0,116,0,112,0.000000
2.271128,1.949998,-660,19492,0,124,0,108,789,9080,0,112,0,116,0,116,0.000000
2.281893,1.959998,-613,19496,0,128,0,112,792,9080,0,116,0,116,0,112,0.000000
2.292726,1.969998,-649,19488,0,128,0,112,809,9080,0,116,0,116,0,112,0.000000
2.304484,1.979998,-676,19488,0,124,0,112,810,9084,0,112,0,116,0,116,0.000000
2.315312,1.989998,-649,19484,0,128,0,112,810,9080,0,116,0,116,0,108,0.000000
2.326060,1.999998,-626,19496,0,128,0,112,812,9080,0,112,0,112,0,112,0.000000
2.337641,2.009999,-646,19484,0,128,0,112,812,9084,0,116,0,116,0,112,0.000000
2.348731,2.019999,-660,19484,0,128,0,112,808,9084,0,112,0,116,0,112,0.000000
2.359414,2.029999,-653,19488,0,128,0,108,811,9084,0,112,0,116,0,112,0.000000
2.370878,2.039999,-651,19488,0,124,0,112,810,9080,0,112,0,116,0,112,0.000000
2.382122,2.049999,-663,19484,0,128,0,112,810,9080,0,116,0,116,0,112,0.000000
2.392770,2.059999,-649,19488,0,128,0,112,811,9080,0,112,0,116,0,116,0.000000
2.403971,2.069999,-664,19488,0,128,0,112,810,9080,0,116,0,116,0,116,0.000000
2.415554,2.079998,-652,19488,0,128,0,112,809,9084,0,112,0,116,0,112,0.000000
2.426182,2.089998,-626,19492,0,128,0,108,808,9084,0,116,0,116,0,112,0.000000
2.436971,2.099998,-626,19488,0,124,0,112,809,9080,0,112,0,116,0,116,0.000000
2.448571,2.109998,-662,19484,0,128,0,108,809,9084,0,112,0,116,0,112,0.000000
2.459487,2.119998,-682,19484,0,128,0,112,810,9080,0,116,0,116,0,112,0.000000
2.470553,2.129998,-650,19488,0,124,0,108,809,9080,0,116,0,116,0,112,0.000000
2.482137,2.139998,-665,19488,0,128,0,112,808,9084,0,116,0,120,0,116,0.000000
2.493317,2.149998,-671,19484,0,128,0,108,810,9080,0,116,0,120,0,112,0.000000
